colour_images,type,colour,bw_images,origionalcolour,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,fixation_2.started,image_2.started,fixation_2.stopped,image_2.stopped,text.started,fixation.started,image.started,Redbutton.started,Blue_button.started,Yellow_button.started,Green_button.started,fixation.stopped,image.stopped,Redbutton.numClicks,Redbutton.timesOn,Redbutton.timesOff,Blue_button.numClicks,Blue_button.timesOn,Blue_button.timesOff,Yellow_button.numClicks,Yellow_button.timesOn,Yellow_button.timesOff,Green_button.numClicks,Green_button.timesOn,Green_button.timesOff,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,instrument,bw,C:\Users\bhvpe\Desktop\20 images\bw_instrument_harp.png,red,0,0,0,0,,,,,0,0,0,5,,,,,,75.62761320010759,80.66197029990144,80.9439820998814,80.9439820998814,80.9439820998814,80.9439820998814,80.9439820998814,81.01092069991864,83.96077989996411,1,[4.764132899930701],[4.764194499934092],0,,,0,,,0,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
,instrument,bw,C:\Users\bhvpe\Desktop\20 images\bw_instrument_guitar.png,green,0,0,0,0,,,,,0,1,1,4,,,,,,,85.69403670006432,86.01105630001985,86.01105630001985,86.01105630001985,86.01105630001985,86.01105630001985,86.04432219988666,,0,,,0,,,0,,,1,[2.9851440999191254],[2.9851563000120223],,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
,ktools,bw,C:\Users\bhvpe\Desktop\20 images\bw_ktools_kettle.png,yellow,0,0,0,0,,,,,0,2,2,9,,,,,,,88.97717149998061,89.29556109989062,89.29556109989062,89.29556109989062,89.29556109989062,89.29556109989062,89.32718340004794,,0,,,0,,,1,[1.6508832999970764],[1.650894100079313],0,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
,vehical,bw,C:\Users\bhvpe\Desktop\20 images\bw_vehical_cycle.png,red,0,0,0,0,,,,,0,3,3,14,,,,,,,90.92749479995109,91.24379440001212,91.24379440001212,91.24379440001212,91.24379440001212,91.24379440001212,91.27736150007695,,1,[1.9171410999260843],[1.9171511998865753],0,,,0,,,0,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
,vehical,bw,C:\Users\bhvpe\Desktop\20 images\bw_vehical_plane.png,yellow,0,0,0,0,,,,,0,4,4,15,,,,,,,93.14379899995402,93.46073330007493,93.46073330007493,93.46073330007493,93.46073330007493,93.46073330007493,93.4939784000162,,0,,,0,,,0,,,1,[2.1845913999713957],[2.184603000059724],,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
,instrument,bw,C:\Users\bhvpe\Desktop\20 images\bw_instrument_trumpet.png,blue,0,0,0,0,,,,,0,5,5,7,,,,,,,95.62739689997397,95.94495299994014,95.94495299994014,95.94495299994014,95.94495299994014,95.94495299994014,95.97719360003248,,0,,,1,[2.2185466999653727],[2.218564399983734],0,,,0,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
,instrument,bw,C:\Users\bhvpe\Desktop\20 images\bw_instrument_piano.png,yellow,0,0,0,0,,,,,0,6,6,6,,,,,,,98.14385990006849,98.46078599989414,98.46078599989414,98.46078599989414,98.46078599989414,98.46078599989414,98.49380069994368,,1,[2.452484699897468],[2.452496699988842],0,,,0,,,0,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
,vehical,bw,C:\Users\bhvpe\Desktop\20 images\bw_vehical_bus.png,blue,0,0,0,0,,,,,0,7,7,12,,,,,,,100.89370570005849,101.22726599988528,101.22726599988528,101.22726599988528,101.22726599988528,101.22726599988528,101.26042519998737,,0,,,1,[1.4669690001755953],[1.466979700140655],0,,,0,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
,furniture,bw,C:\Users\bhvpe\Desktop\20 images\bw_furniture_bed.png,red,0,0,0,0,,,,,0,8,8,0,,,,,,,102.66045630001463,102.97710609994829,102.97710609994829,102.97710609994829,102.97710609994829,102.97710609994829,103.01058460003696,,1,[1.5837747000623494],[1.5837856999132782],0,,,0,,,0,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
,furniture,bw,C:\Users\bhvpe\Desktop\20 images\bw_furniture_chair.png,yellow,0,0,0,0,,,,,0,9,9,1,,,,,,,104.54369079996832,104.86061650002375,104.86061650002375,104.86061650002375,104.86061650002375,104.86061650002375,104.89383749989793,,0,,,0,,,1,[2.0516303000040352],[2.0516411000862718],0,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
,vehical,bw,C:\Users\bhvpe\Desktop\20 images\bw_vehical_car.png,green,0,0,0,0,,,,,0,10,10,13,,,,,,,106.91030619991943,107.2104330000002,107.2104330000002,107.2104330000002,107.2104330000002,107.2104330000002,107.24359450000338,,0,,,1,[1.7171364999376237],[1.7171469999011606],0,,,0,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
,ktools,bw,C:\Users\bhvpe\Desktop\20 images\bw_ktools_knife.png,green,0,0,0,0,,,,,0,11,11,10,,,,,,,108.91036550002173,109.22712750011124,109.22712750011124,109.22712750011124,109.22712750011124,109.22712750011124,109.26052189990878,,0,,,0,,,0,,,1,[1.88494209991768],[1.884954699780792],,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
,ktools,bw,C:\Users\bhvpe\Desktop\20 images\bw_ktools_fork.png,red,0,0,0,0,,,,,0,12,12,8,,,,,,,111.09370000008494,111.41026949998923,111.41026949998923,111.41026949998923,111.41026949998923,111.41026949998923,111.44374680006877,,1,[1.8180528997909278],[1.8180627999827266],0,,,0,,,0,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
,furniture,bw,C:\Users\bhvpe\Desktop\20 images\bw_furniture_table.png,blue,0,0,0,0,,,,,0,13,13,3,,,,,,,113.21045619994402,113.52691769995727,113.52691769995727,113.52691769995727,113.52691769995727,113.52691769995727,113.5604077000171,,0,,,1,[1.217624100157991],[1.2176345000043511],0,,,0,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
,ktools,bw,C:\Users\bhvpe\Desktop\20 images\bw_ktools_pan.png,blue,0,0,0,0,,,,,0,14,14,11,,,,,,,114.72745630005375,115.0438699000515,115.0438699000515,115.0438699000515,115.0438699000515,115.0438699000515,115.07690789992921,,1,[1.6835160001646727],[1.6835265001282096],0,,,0,,,0,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
,furniture,bw,C:\Users\bhvpe\Desktop\20 images\bw_furniture_sofa.png,green,0,0,0,0,,,,,0,15,15,2,,,,,,,116.71031520003453,117.02682620007545,117.02682620007545,117.02682620007545,117.02682620007545,117.02682620007545,117.06032969988883,,0,,,1,[1.48362320009619],[1.483633500058204],0,,,0,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.47696259990335,121.47685139998794,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
