colour_images,type,colour,bw_images,origionalcolour,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,fixation_2.started,image_2.started,fixation_2.stopped,image_2.stopped,text.started,fixation.started,image.started,Redbutton.started,Blue_button.started,Yellow_button.started,Green_button.started,fixation.stopped,image.stopped,Redbutton.numClicks,Redbutton.timesOn,Redbutton.timesOff,Blue_button.numClicks,Blue_button.timesOn,Blue_button.timesOff,Yellow_button.numClicks,Yellow_button.timesOn,Yellow_button.timesOff,Green_button.numClicks,Green_button.timesOn,Green_button.timesOff,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
C:\Users\bhvpe\Desktop\20 images\colour_ktools_redfork.png,ktools,red,,,0,0,0,0,0,0,0,10,,,,,33.82784379995428,38.87776200007647,39.11470600008033,39.1817876000423,41.1277288000565,,,,,,,,,,,,,,,,,,,,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
C:\Users\bhvpe\Desktop\20 images\colour_furniture_yellowchair.png,furniture,yellow,,,0,0,0,0,0,1,1,3,,,,,,41.1277288000565,41.42795450007543,41.44459820003249,,,,,,,,,,,,,,,,,,,,,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
C:\Users\bhvpe\Desktop\20 images\colour_ktools_yellowkettle.png,ktools,yellow,,,0,0,0,0,0,2,2,11,,,,,,43.42786630010232,43.72785959998146,43.744355000089854,,,,,,,,,,,,,,,,,,,,,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
C:\Users\bhvpe\Desktop\20 images\colour_ktools_greenknife.png,ktools,green,,,0,0,0,0,0,3,3,9,,,,,,45.72974149999209,46.02769419993274,46.04438959993422,,,,,,,,,,,,,,,,,,,,,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
C:\Users\bhvpe\Desktop\20 images\colour_furniture_bluetable.png,furniture,blue,,,0,0,0,0,0,4,4,0,,,,,,48.02814169996418,48.32753959996626,48.344396400032565,,,,,,,,,,,,,,,,,,,,,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
C:\Users\bhvpe\Desktop\20 images\colour_instrument_redharp.png,instrument,red,,,0,0,0,0,0,5,5,6,,,,,,50.32766669988632,50.62762790010311,50.64440519991331,,,,,,,,,,,,,,,,,,,,,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
C:\Users\bhvpe\Desktop\20 images\colour_vehical_bluebus.png,vehical,blue,,,0,0,0,0,0,6,6,12,,,,,,52.6445112999063,52.92761890008114,52.94432509993203,,,,,,,,,,,,,,,,,,,,,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
C:\Users\bhvpe\Desktop\20 images\colour_instrument_greenguitar.png,instrument,green,,,0,0,0,0,0,7,7,5,,,,,,54.927300800103694,55.22790569998324,55.24443560000509,,,,,,,,,,,,,,,,,,,,,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
C:\Users\bhvpe\Desktop\20 images\colour_furniture_redbed.png,furniture,red,,,0,0,0,0,0,8,8,2,,,,,,57.22768300003372,57.527626799885184,57.544182300101966,,,,,,,,,,,,,,,,,,,,,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
C:\Users\bhvpe\Desktop\20 images\colour_vehical_redcycle.png,vehical,red,,,0,0,0,0,0,9,9,14,,,,,,59.53015020000748,59.827580200042576,59.844271400012076,,,,,,,,,,,,,,,,,,,,,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
C:\Users\bhvpe\Desktop\20 images\colour_vehical_greencar.png,vehical,green,,,0,0,0,0,0,10,10,13,,,,,,61.828232399886474,62.127452899934724,62.14417489990592,,,,,,,,,,,,,,,,,,,,,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
C:\Users\bhvpe\Desktop\20 images\colour_ktools_bluepan.png,ktools,blue,,,0,0,0,0,0,11,11,8,,,,,,64.12925949995406,64.42753960005939,64.44435520004481,,,,,,,,,,,,,,,,,,,,,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
C:\Users\bhvpe\Desktop\20 images\colour_instrument_bluetrumpet.png,instrument,blue,,,0,0,0,0,0,12,12,4,,,,,,66.42966670007445,66.72756580007263,66.74407400004566,,,,,,,,,,,,,,,,,,,,,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
C:\Users\bhvpe\Desktop\20 images\colour_instrument_yellowpiano.png,instrument,yellow,,,0,0,0,0,0,13,13,7,,,,,,68.72886419994757,69.0272206000518,69.04409489990212,,,,,,,,,,,,,,,,,,,,,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
C:\Users\bhvpe\Desktop\20 images\colour_vehical_yellowplane.png,vehical,yellow,,,0,0,0,0,0,14,14,15,,,,,,71.03009380004369,71.32714689988643,71.34404270001687,,,,,,,,,,,,,,,,,,,,,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
C:\Users\bhvpe\Desktop\20 images\colour_furniture_greensofa.png,furniture,green,,,0,0,0,0,0,15,15,1,,,,,,73.32770489994437,73.62747070007026,73.64435929991305,,,,,,,,,,,,,,,,,,,,,,,,,3pfinal,001,2023-11-27_20h57.17.991,final experiment brightness,2023.1.3,59.875255931725064,
